start city,stop city,distance
Aberdeen,Tokyo,9065.510206793278
Aberdeen,Tripoli,3066.311587112804
Aberdeen,Venice,1742.5918563180876
Aberdeen,Veracruz,8405.862295538896
Aberdeen,Vienna,1666.4999976008132
Aberdeen,Vladivostok,8035.896113393044
Aberdeen,Warsaw,1642.1392295396395
Aberdeen,Wellington,18151.189302921877
Aberdeen,Zrich,1406.125991284261
Adelaide,Aberdeen,16157.948284870952
Adelaide,Adelaide,0.0
Adelaide,Algiers,16010.778082968769
Adelaide,Amsterdam,15895.674197556478
Adelaide,Ankara,13601.832579153763
Adelaide,Asuncin,13175.964798993004
Adelaide,Athens,14280.746093393653
Adelaide,Auckland,3254.9404798296137
Adelaide,Bangkok,6682.606064584684
Adelaide,Barcelona,16085.588444907426
Adelaide,Beijing,8549.607171438072
Adelaide,Belm,15976.08156741008
Adelaide,Belfast,16470.268299624215
Adelaide,Belgrade,14721.680472711008
Adelaide,Berlin,15304.790318490768
Adelaide,Birmingham,16298.589250016053
Adelaide,Bogot,15275.601195509094
Adelaide,Bombay,9156.690881970415
Adelaide,Bordeaux,16350.364224928471
Adelaide,Bremen,15611.00376289828
Adelaide,Brisbane,1677.2764632152328
Adelaide,Bristol,16380.639509247618
Adelaide,Brussels,15946.178823171054
Adelaide,Bucharest,14219.883132922156
Adelaide,Budapest,14831.91221443912
Adelaide,Buenos Aires,12165.591301314658
Adelaide,Cairo,13312.165227476306
Adelaide,Calcutta,8249.177719510646
Adelaide,Canton,7004.683113781199
Adelaide,Cape Town,10209.748794799209
Adelaide,Caracas,16276.979575463143
Adelaide,Cayenne,16505.53770779013
Adelaide,Chihuahua,13933.193375173612
Adelaide,Chongqing,7873.4198358084495
Adelaide,Copenhagen,15337.465444924492
Adelaide,Crdoba,12330.705563534168
Adelaide,Dakar,16706.795589510602
Adelaide,Darwin,2600.9800168290794
Adelaide,Djibouti,11179.412727940167
Adelaide,Dublin,16556.720757720206
Adelaide,Durban,9627.47821077933
Adelaide,Edinburgh,16274.49911306935
